5 222 2000000 8 8 8 8 8
35914	67794	180962	372834	817018	1703198	4683302	11684344	36249	67362	180586	369668	821750	1710643	4652398	11776875	37178	67126	188501	360838	799625	1686317	4748111	11598658	36302	67700	185688	368872	831391	1704872	4725389	11949611	36468	68771	182034	369758	809871	1718723	4841380	11719285
43436	83276	219144	447436	976766	1954122	4676456	11169524	42999	82987	218513	448302	986827	1942907	4605492	10956341	43919	82894	219202	439104	969270	1939898	4762437	11190238	43463	85928	218126	451008	993600	1948302	4631660	11220201	44507	81835	219036	442980	986242	1920125	4751721	11238027
50348	99018	260346	544846	1161540	2221892	4947434	11486054	50097	95515	266265	543116	1170876	2226348	4973704	11497892	51415	97099	259955	545453	1144871	2223987	4899487	11454466	49658	99097	262124	556897	1162120	2234413	4960050	11653840	50110	99914	256293	539761	1148099	2229175	5031572	11639493
17618	36942	116350	282550	698234	1489546	3823108	9171790	17184	39372	115022	281701	695585	1494102	3784432	9201403	16791	35946	120168	275784	715530	1502213	3809117	9279915	17719	35955	117208	288935	673430	1467335	3795752	9126923	17036	36886	116467	284253	690131	1485301	3824960	9217723
35476	75570	198060	429728	905140	1728682	4021130	8993872	34942	76029	196541	436295	909162	1721995	4068787	9122102	36407	72846	198887	434630	879883	1717828	3976060	9088010	35361	75981	200491	444568	898742	1716776	4001621	8898990	35727	74076	192179	411345	916165	1749660	3940753	9016610
14770	32924	100054	231128	490738	1009416	2672626	6156126	14346	31614	93864	239062	485481	1031518	2702086	5815492	14817	33162	97592	225989	477975	1029810	2576394	6285781	13599	32438	100159	220856	489946	983230	2634891	6200909	14725	31458	99479	236435	454664	997533	2663989	6274648
19032	43240	125546	288106	634470	1235548	3294710	7977944	19024	45812	121099	280491	618862	1211914	3279893	7998070	17902	41478	124852	284769	622709	1233755	3253344	8019118	19164	41491	131129	280973	635636	1226073	3269593	7962104	19161	43419	122709	286335	638415	1245605	3213754	7891396
23214	50264	125504	259568	518874	967432	2371476	5220406	22507	50998	126934	256603	531980	964099	2376448	5500549	23318	50727	124312	260931	525203	950208	2322546	5478040	22198	50728	119056	246702	518549	950614	2348692	5203724	23930	49805	127288	255132	521123	929727	2346069	5068784
23874	51086	130818	267158	529286	994276	2483134	5245888	24022	51624	128615	262059	521832	1007207	2539759	5159656	24491	50758	131023	253114	532666	996693	2552918	5543502	24163	49836	133546	263803	530900	991550	2494284	5202915	23685	51715	125775	274380	547500	985794	2512643	5243450
23626	48716	124748	262252	515898	991678	2402176	5221218	24676	47955	126382	270142	534275	984842	2379207	5177320	23186	47672	126506	260190	513970	954382	2233108	5153007	22710	50267	126962	264009	506357	964056	2410513	5160761	24224	49061	130570	263877	519513	958688	2423160	5337034
28048	57456	146250	320112	660316	1198642	3073966	6902860	28517	57589	142715	319730	668340	1167306	3130480	7035287	29273	55508	147939	333102	658023	1151636	3105464	6756050	28337	58856	148686	314687	659818	1169023	3133752	7153933	28660	56257	147524	325157	643194	1187979	2983956	6898738
25910	53162	139352	325766	669498	1260468	3354800	7926558	25789	51249	136919	335108	657609	1274761	3353608	7820624	26763	52306	143478	329550	674800	1269148	3339146	8033021	25973	54008	144907	327704	679896	1302418	3348979	7813877	25545	52969	138729	321878	686593	1257606	3274612	8095456
27172	54614	159678	337610	717700	1355492	3386394	7805012	26611	55611	161817	334531	715553	1330345	3403022	7965613	26366	55003	159665	331168	707105	1310012	3358146	7886543	26216	54642	163883	339519	708955	1412812	3327904	7840143	26139	55437	161420	345661	725047	1364823	3325163	7820346
27830	55394	144444	311068	643228	1216606	2745306	6082434	27358	54925	149076	311235	639414	1205154	2794637	6157467	28468	55237	147482	317812	649670	1196074	2726417	6193835	28110	54302	139989	306507	651313	1256648	2730845	5791883	26728	55695	149162	309512	659570	1202926	2741764	6004092
14566	30372	82282	183118	384562	769760	2035694	4874134	15636	30540	84160	174422	372963	748557	2117880	4655631	14636	31207	87694	196421	366944	795329	2064441	4805038	15216	30732	85850	186346	391984	773365	1968331	4990952	15456	30271	82540	182371	412082	803053	2041627	5078002
20498	41060	107600	228512	477904	998702	2548164	6330848	20530	42567	111398	236910	484582	995867	2580310	6344811	20149	40072	103712	236730	485100	1007194	2542117	6188661	19495	40105	106202	224453	491191	947045	2609712	6402265	22479	42359	107698	233614	464319	989135	2471974	6510022
25212	50072	130496	268660	589022	1138672	2951676	7333500	24809	50429	135901	266322	582647	1127679	2955278	7130974	25012	52086	132755	264891	582266	1116910	3098468	7311756	24602	51414	131194	263369	585073	1162203	3018736	7473338	25505	51551	130329	266898	596346	1111324	2928830	7289223
21066	42254	114272	250930	539598	1103682	2810914	6993030	21186	42583	117570	241354	561331	1091531	2855396	7125256	20785	41956	110872	246690	554627	1103299	2823063	7234088	20330	40528	115693	257983	514559	1102552	2730735	6901162	21416	43282	113430	240057	533922	1143334	2866989	6906299
